orign path,batch
/content/drive/MyDrive/Sorbonne_Data_challenge/folder_training_set/d61d776c584644a4db16663cc916de22138b97ce328dd16b985c396956ad0efc.json,rep_0
/content/drive/MyDrive/Sorbonne_Data_challenge/folder_training_set/86f133e9201e6131cae209f5b3c67f48cd5e23666b9ee007d03c89e51fa7d6fc.json,rep_0
/content/drive/MyDrive/Sorbonne_Data_challenge/folder_training_set/3c72731f12ebb779bc4c5f0e05a62ca7785d82fe852b2df89b9ad5e144ca6e79.json,rep_0
/content/drive/MyDrive/Sorbonne_Data_challenge/folder_training_set/414cb126efb9b3e0520ff6504ad2448e383aa284aeca0142a3937f164f343b1b.json,rep_0
/content/drive/MyDrive/Sorbonne_Data_challenge/folder_training_set/73a82d73d442107e3be9f1b10142f9f780746e14e750e3e38479b447bd0c078d.json,rep_0
/content/drive/MyDrive/Sorbonne_Data_challenge/folder_training_set/d517a24773cce6d6ce1129b7648852b555d58d46daf09761bf5306b8e6eb3a8f.json,rep_0
/content/drive/MyDrive/Sorbonne_Data_challenge/folder_training_set/8975171eb5ec798eacbedf9cbf6fd99c5d61f31be7c6bfd36cbac9c97093432a.json,rep_0
/content/drive/MyDrive/Sorbonne_Data_challenge/folder_training_set/87e57e64f40f67b721ce3935ea28f44b7da023c28578e48c7193688d924f748b.json,rep_0
/content/drive/MyDrive/Sorbonne_Data_challenge/folder_training_set/ac16dcceeeedd8f951c0a384aa1e1c7cf84823ac815ef2f9eb369d6822d2d96b.json,rep_0
/content/drive/MyDrive/Sorbonne_Data_challenge/folder_training_set/d578d8cb92a66a7394ce4a41f8762f289715dfa9a6df838687f0a87c0ca6cfdf.json,rep_0
/content/drive/MyDrive/Sorbonne_Data_challenge/folder_training_set/695c2ec771ef496afbba98f2d9a61df4bcd41a2821acbc27690b788a3c6a85a3.json,rep_0
/content/drive/MyDrive/Sorbonne_Data_challenge/folder_training_set/b0ede124478a73846fe302d19c05e86eb07880384d858272877ed242acfff148.json,rep_0
/content/drive/MyDrive/Sorbonne_Data_challenge/folder_training_set/5097d1aa57e968d610998918e36504d18788e4c5c7ef916c6265268d10c15067.json,rep_0
/content/drive/MyDrive/Sorbonne_Data_challenge/folder_training_set/72a5db1f1880e9e4c4cf76f195b1c6c27cdd758a7ac7a97b9710efa60e8b1599.json,rep_0
/content/drive/MyDrive/Sorbonne_Data_challenge/folder_training_set/a67f6fa1fa32b492f08ae46e187a143d8b107863df119cdb0759b39446827a68.json,rep_0
/content/drive/MyDrive/Sorbonne_Data_challenge/folder_training_set/26c657961c1a9358c639af42386d99b5ea2f9461331451e2a058653e80f777a9.json,rep_0
/content/drive/MyDrive/Sorbonne_Data_challenge/folder_training_set/22b52e645a678fc8a6ff76b8efe3c26e141bacfbb6bf972e1520061adf33bd4a.json,rep_0
/content/drive/MyDrive/Sorbonne_Data_challenge/folder_training_set/d9d80aae27b350994d2917609b1944187b769de4798f2bc0ff5fd1f58af1df19.json,rep_0
/content/drive/MyDrive/Sorbonne_Data_challenge/folder_training_set/8266f475af07f20442a8371f496efe36eab2bb1e73c4d49cbaf35a3fc6e70fc4.json,rep_0
/content/drive/MyDrive/Sorbonne_Data_challenge/folder_training_set/bfd5b2b01891c22d6709a117997425981542c25363619c26153b53fcbfb3f0bc.json,rep_0
/content/drive/MyDrive/Sorbonne_Data_challenge/folder_training_set/7b80a9e39baae61fe9dae49b3a8ad1a36023ae886aeb7bb785f8716d00a467d6.json,rep_0
/content/drive/MyDrive/Sorbonne_Data_challenge/folder_training_set/75a7b32e884a250e7ca40f35ee319c977e93989da22ec8ced14391544acc1da4.json,rep_0
/content/drive/MyDrive/Sorbonne_Data_challenge/folder_training_set/34214083ce60696dc171d58c3152856c1a0eb661a4741e22a340bdd52258b130.json,rep_0
/content/drive/MyDrive/Sorbonne_Data_challenge/folder_training_set/10c4438a1bc08094653d396c0f18d2622e0ed36deaaa03354a63e9a8748f889a.json,rep_0
/content/drive/MyDrive/Sorbonne_Data_challenge/folder_training_set/5b448503e55ee571b02e0ab1790ace80a736a485facd8e77cefff15044d9a5c0.json,rep_0
/content/drive/MyDrive/Sorbonne_Data_challenge/folder_training_set/5285d3d609b5bef8aedf25b435ad8809cefe23a863cd2f84b8a621cc9d52471a.json,rep_0
/content/drive/MyDrive/Sorbonne_Data_challenge/folder_training_set/4cdb7186b569838b94a0699450874258ed655167a36217fb046ca7fe43a4d605.json,rep_0
/content/drive/MyDrive/Sorbonne_Data_challenge/folder_training_set/8b85801e01faae98411ce20440d05afcb2b96e228a3a29f56fcb2d6096617c6f.json,rep_0
/content/drive/MyDrive/Sorbonne_Data_challenge/folder_training_set/5e18779ce4ea663a3bbb5773ed2f4f51d7054368c286f89bd3a516968123ff25.json,rep_0
/content/drive/MyDrive/Sorbonne_Data_challenge/folder_training_set/c8e54479c7ecaac11fda462bc92d9b167b742531b7243d3d231d5bad918d23db.json,rep_0
/content/drive/MyDrive/Sorbonne_Data_challenge/folder_training_set/a2596139bf2fa9ff620d2b2b2dab3d3af28721aaf31c225223fbd37370b2343b.json,rep_0
/content/drive/MyDrive/Sorbonne_Data_challenge/folder_training_set/e7e5d2825146fea79cf1a1b3bb587b99b29b3dadffc1afd8e6fb0250fda0ff6d.json,rep_0
/content/drive/MyDrive/Sorbonne_Data_challenge/folder_training_set/faadd56e04682485bb591c816cf26c4b91a6d797daeedf72d53d803eb339b235.json,rep_0
/content/drive/MyDrive/Sorbonne_Data_challenge/folder_training_set/7734b8748a9ab658d0b554365ac9205d0e750bfca8e2758b1cf0fcf07c2f959b.json,rep_0
/content/drive/MyDrive/Sorbonne_Data_challenge/folder_training_set/04648677ce9669c78a16c55c9434867b1cb25d72009c3a1f195601e71fdb2374.json,rep_0
/content/drive/MyDrive/Sorbonne_Data_challenge/folder_training_set/e0a1fc91d19da04fd6c935372db90b350d92167f3508002761f3c1bb05098c2f.json,rep_0
/content/drive/MyDrive/Sorbonne_Data_challenge/folder_training_set/65b48d0d5ee2bee90e02854f2aa4a9536722629a2d94a66be04075443bc733fe.json,rep_0
/content/drive/MyDrive/Sorbonne_Data_challenge/folder_training_set/09271530f651284e36f281144c1c4567c50bdbe94032d4ed42eff715ae619c4b.json,rep_0
/content/drive/MyDrive/Sorbonne_Data_challenge/folder_training_set/be3c36724467cf4167a511acb8e9ee7e636981d905b76c595269cd39b6d3b9b8.json,rep_0
/content/drive/MyDrive/Sorbonne_Data_challenge/folder_training_set/ed9bb5502b6fe3d6f05e82c1827b8ef5753ff04caf8e56a4bf63d41957ed5d60.json,rep_0
/content/drive/MyDrive/Sorbonne_Data_challenge/folder_training_set/69f21bc144e3233682a140d56b2e188bf9129d84bce0450bbf4bc2333616186f.json,rep_0
/content/drive/MyDrive/Sorbonne_Data_challenge/folder_training_set/a33130050c683de85ffac9d4c9f3f6a6ea1ac563cf659246e2f41319545cef29.json,rep_0
/content/drive/MyDrive/Sorbonne_Data_challenge/folder_training_set/75f7d76aba8c94ee7d951be31fab3c3d9109becc37758f790b06519358e86ba6.json,rep_0
/content/drive/MyDrive/Sorbonne_Data_challenge/folder_training_set/5c4ce81ddfbcffe8fc8e2b5c55b922e1518b4d94ff72cc7951fb5f8e092dc13e.json,rep_0
/content/drive/MyDrive/Sorbonne_Data_challenge/folder_training_set/6fc0843f540a988ef4c259d5eb60f0b7070aac6211be13e97360cbd7ed520b10.json,rep_0
/content/drive/MyDrive/Sorbonne_Data_challenge/folder_training_set/2a34c894ecf15bb7fbe12053f45ffd808bca8dc0fc0526d49c0ed526445f4c65.json,rep_0
/content/drive/MyDrive/Sorbonne_Data_challenge/folder_training_set/ec45bb18e62df15dd9b23026208b28e966342aafaf115b04b4c16efb6a017cd4.json,rep_0
/content/drive/MyDrive/Sorbonne_Data_challenge/folder_training_set/656a8609e17fa763583807944091bf994a47d742295031bf08464146030b564e.json,rep_0
/content/drive/MyDrive/Sorbonne_Data_challenge/folder_training_set/dd91e808128d75cb503f619168c95d5e87b9f5ac7dc3320636d91b00a8948cf0.json,rep_0
/content/drive/MyDrive/Sorbonne_Data_challenge/folder_training_set/2e38e6ffb9253224c73ec36f670e04a0a9f5201a656f82d7ebce5aed565d2c64.json,rep_0
/content/drive/MyDrive/Sorbonne_Data_challenge/folder_training_set/f0ae368f6c416edc68b7136720771f0bc448a48e68eacf85cf7748a518f586c4.json,rep_0
/content/drive/MyDrive/Sorbonne_Data_challenge/folder_training_set/fbc459c6158fbff3161a6d2451502426c2dea059c37603331b46db71d8b9b227.json,rep_0
/content/drive/MyDrive/Sorbonne_Data_challenge/folder_training_set/126a4d55f1e5c978c609c0e8e7acb7a182e4361adb51a220fd980b567503acb4.json,rep_0
/content/drive/MyDrive/Sorbonne_Data_challenge/folder_training_set/fb551ab74d9835dbaa9c305b206aa8ceec12ade2c82a947f9907d9284b3bb218.json,rep_0
/content/drive/MyDrive/Sorbonne_Data_challenge/folder_training_set/35d8eb3a18f55806333f187f295df747150048c5cdd011acba9e294fa57ad991.json,rep_0
/content/drive/MyDrive/Sorbonne_Data_challenge/folder_training_set/db6a44caaf28268c72c4f4ed1db580c8c7ad232b2638c254a4ffb9f07188429e.json,rep_0
/content/drive/MyDrive/Sorbonne_Data_challenge/folder_training_set/dd0f1a7bb43d4a5fe03e65473bcfb1454607c066719bf6c0a76084b3e2113876.json,rep_0
/content/drive/MyDrive/Sorbonne_Data_challenge/folder_training_set/a385a5905ae42f3855f49945faa3f7fb58ff8cff8d4432c10df1013b776961be.json,rep_0
